Name,Age,Nationality,Club
S. Diaz,22,Chile,Audax Italiano
Manu Vallejo,21,Spain,Cádiz CF
Lee Sang Ho,31,Korea Republic,FC Seoul
F. Kurto,27,Poland,Wellington Phoenix
A. Witry,22,Norway,Ranheim Fotball
L. Varney,35,England,Cheltenham Town
Valverde,33,Spain,Extremadura UD
H. Taniguchi,33,Japan,Sagan Tosu
J. Blåbjerg,23,Denmark,Aalborg BK
J. Emmanuel,20,England,Shrewsbury
N. Gauna,26,Argentina,Curicó Unido
P. Kovář,32,Czech Republic,SK Slavia Praha
F. Holst,23,Denmark,IF Elfsborg
B. Barker,21,England,Preston North End
L. Trotter,29,England,AFC Wimbledon
F. Narsingh,30,Netherlands,De Graafschap
D. Gustavsson,27,Sweden,IF Elfsborg
C. Dajome,24,Colombia,América de Cali
M. Trapp,26,Germany,VfL Osnabrück
A. Mintzel,36,Germany,SV Wehen Wiesbaden
M. Piossek,28,Poland,VfL Sportfreunde Lotte
Borja Granero,28,Spain,Extremadura UD
Son Jeong Hyeon,26,Korea Republic,Gyeongnam FC
Kim Sung Ju,27,Korea Republic,Jeju United FC
C. Dieng,24,Senegal,FC Wacker Innsbruck
L. Sinisterra,19,Colombia,Feyenoord
M. Cabit,25,France,AC Ajaccio
O. Wijndal,18,Netherlands,AZ Alkmaar
N. Vujadinović,31,Montenegro,Lech Poznań
M. Delač,25,Croatia,AC Horsens
D. Herner,34,Argentina,América de Cali
M. Hilßner,23,Germany,FC Hansa Rostock
Beto da Silva,21,Peru,Tigres U.A.N.L.
Bastos,26,Spain,CF Reus Deportiu
D. Jastrzembski,18,Germany,Hertha BSC
F. Farnolle,33,Benin,Yeni Malatyaspor
M. Lorenz,29,Germany,Karlsruher SC
K. Kallaste,29,Estonia,Korona Kielce
N. Opoku,20,Ghana,Udinese
S. Ağçay,36,Turkey,MKE Ankaragücü
M. Wassey,30,Canada,SC Paderborn 07
P. Micin,19,Serbia,Udinese
M. Crépeau,24,Canada,
J. Helmer,20,Netherlands,AZ Alkmaar
C. Doudin,31,Switzerland,Neuchâtel Xamax
M. Mak,26,Poland,Piast Gliwice
S. Sharahili,28,Saudi Arabia,Al Qadisiyah
N. Datković,25,Croatia,Cracovia
E. Lancini,24,Italy,Brescia
Jailson Acuna,30,Brazil,Sport Club do Recife
P. Pawlett,27,Scotland,Milton Keynes Dons
J. Hardeveld,23,Netherlands,Heracles Almelo
J. Kliment,24,Czech Republic,VfB Stuttgart
R. Goreux,30,Haiti,Standard de Liège
C. Vargas,19,Mexico,Club América
A. Fuenmayor,21,Venezuela,Houston Dynamo
R. Åhman Persson,31,Sweden,IK Sirius
M. Slavov,27,Ukraine,Vendsyssel FF
Lee Chan Dong,25,Korea Republic,Jeju United FC
D. Szymański,23,Poland,Wisła Płock
S. Stolze,23,Germany, SSV Jahn Regensburg
B. Tekpetey,20,Ghana,SC Paderborn 07
F. El Mellali,21,Algeria,Angers SCO
M. Doughty,25,Wales,Swindon Town
M. Szczepaniak,27,Poland,Miedź Legnica
A. Martínez,24,Chile,Audax Italiano
T. Teniste,30,Estonia,SK Brann
G. Korte,24,Netherlands,NAC Breda
B. Alnwick,31,England,Bolton Wanderers
D. Acosta,20,United States,Real Salt Lake
B. Manu,21,Germany,Hallescher FC
Jin Seong Wook,24,Korea Republic,Jeju United FC
S. Akasaki,26,Japan,Kawasaki Frontale
S. N'Guessan,23,Ivory Coast,AS Nancy Lorraine
A. Angoula,37,France,La Berrichonne de Châteauroux
K. Pedersen,25,Denmark,Aalborg BK
J. Brayford,30,England,Burton Albion
S. Suciu,28,Romania,Venezia FC
M. Ricci,24,Italy,Spezia
Morillas,31,Spain,CF Rayo Majadahonda
K. Andersen,32,Belgium,SC Fortuna Köln
F. Varela,22,Argentina,CF Rayo Majadahonda
Júnior Negão,31,Brazil,Ulsan Hyundai FC
F. Casarini,28,Italy,Ascoli
J. Omolo,28,Kenya,KSV Cercle Brugge
C. Chapman,23,Australia,Pohang Steelers
Rúben Oliveira,23,Portugal,CD Aves
S. Lizana,25,Chile,CD Palestino
K. Hidalgo,22,Chile,CD Huachipato
J. Mackie,32,Scotland,Oxford United
Han Seung Gyu,21,Korea Republic,Ulsan Hyundai FC
Narcisso Mau,30,Brazil,Ceará Sporting Club
L. Reis,18,Netherlands,FC Groningen
C. Gomes,17,France,Manchester City
L. Angulo,22,Colombia,Independiente Medellín
E. Domaschke,32,Germany,SV Meppen
M. Nizam,27,Turkey,Antalyaspor
B. Halloran,26,Australia,Adelaide United
P. Möschl,25,Austria,SG Dynamo Dresden
M. Milec,26,Slovenia,
F. Bambock,23,France,Córdoba CF
S. Vasiliadis,20,Germany,SC Paderborn 07
Rui Silva,22,Portugal,Santa Clara
T. van de Looi,18,Netherlands,FC Groningen
M. Orozco,32,United States,Lobos BUAP
M. N'Doye,26,Senegal,GFC Ajaccio
E. Sarraj,28,Saudi Arabia,Ohod Club
Fabio,29,Brazil,Gamba Osaka
J. Graham,23,England,Ipswich Town
E. Farias,29,Chile,Deportes Iquique
Mica Pinto,25,Portugal,Fortuna Sittard
J. Tanaka,30,Japan,Vissel Kobe
B. Whiteman,22,England,Doncaster Rovers
Nazario Serpe,26,Brazil,Bahia
I. Arce,26,Argentina,San Martin de Tucumán
R. Hollingshead,27,United States,FC Dallas
Botelhinonsa,30,Brazil,Atlético Paranaense
Lim Chan Wool,23,Korea Republic,Gangwon FC
Joca,22,Portugal,Rio Ave FC
J. Sandoval,31,Uruguay,Argentinos Juniors
B. Knežević,21,Croatia,Dinamo Zagreb
Y. Anchico,34,Colombia,Independiente Medellín
F. Del Sole,20,Italy,Pescara
Dálcio,22,Portugal,Os Belenenses
F. Cosenza,32,Italy,Lecce
P. Daka,19,Zambia,FC Red Bull Salzburg
O. Ribera,26,Bolivia,
V. Andriuškevičius,27,Lithuania,DC United
R. Clark,35,United States,Columbus Crew SC
M. Angha,24,Switzerland,FC Sion
J. Dasilva,20,England,Bristol City
M. Bär,26,Germany,VfR Aalen
J. Mora,25,Costa Rica,DC United
G. Rodríguez,27,Argentina,San Martin de Tucumán
F. Diarra,26,Mali,La Berrichonne de Châteauroux
K. Igboananike,29,Nigeria,Örebro SK
S. Horvath,21,Austria,SG Dynamo Dresden
J. Levi,22,Sweden,Rosenborg BK
D. Cole,23,England,Burton Albion
M. Hallberg,22,Sweden,Vejle Boldklub
Carlos Blanco,22,Spain,Villarreal CF
R. Guerra,21,Uruguay,Gimnàstic de Tarragona
S. Scannell,27,Republic of Ireland,Bradford City
J. Marquis,26,England,Doncaster Rovers
Park Gi Dong,29,Korea Republic,Suwon Samsung Bluewings
N. Jackers,20,Belgium,KRC Genk
M. Schröter,22,Germany,FSV Zwickau
L. Broź,32,Poland,Śląsk Wrocław
J. Dodoo,23,Ghana,Blackpool
C. Ronan,20,Republic of Ireland,Walsall
Edenildo Lagoas,30,Brazil,Ceará Sporting Club
S. Freis,33,Germany, SSV Jahn Regensburg
E. Diaw,23,Senegal,Korona Kielce
E. Owusu,20,France,FC Sochaux-Montbéliard
L. Vácha,29,Czech Republic,Sparta Praha
L. Hutten,28,Netherlands,Fortuna Sittard
M. Dittgen,23,Germany,SV Wehen Wiesbaden
Park Han Bin,20,Korea Republic,Daegu FC
R. Matsuda,26,Japan,Cerezo Osaka
D. Frick,28,Germany,FSV Zwickau
Chuca,21,Spain,Elche CF
A. Lamas,34,Uruguay,Atlético Tucumán
A. Grant,24,Australia,Perth Glory
Hwang Seok Ho,29,Korea Republic,Shimizu S-Pulse
G. Berthier,22,France,Red Star FC
F. Depaoli,21,Italy,Chievo Verona
E. Godoy,31,Chile,Curicó Unido
N. Dorsch,20,Germany,1. FC Heidenheim 1846
M. Massop,24,Netherlands,Waasland-Beveren
D. Blacha,27,Poland,VfL Osnabrück
A. Angulo,21,Colombia,Rionegro Águilas
R. Niemeijer,23,Netherlands,FC Emmen
M. Melluso,20,Argentina,Gimnasia y Esgrima La Plata
Kim Ho Nam,29,Korea Republic,Jeju United FC
L. Cabrera,24,Chile,Audax Italiano
P. Dziczek,20,Poland,Piast Gliwice
L. Badiashile,20,France,AS Monaco
H. Shipp,26,United States,Seattle Sounders FC
O. Cissokho,31,Senegal,US Orléans Loiret Football
Ricardinho,28,Brazil,Wisła Płock
P. Tomasik,30,Poland,Lech Poznań
T. Leugers,27,Germany,SV Meppen
T. Wada,27,Japan,Sanfrecce Hiroshima
A. Beghetto,23,Italy,Frosinone
M. Inoha,32,Japan,Vissel Kobe
D. Cappelletti,26,Italy,Padova
D. Murillo,24,Colombia,Junior FC
D. Blanco,23,Argentina,Defensa y Justicia
G. Kobel,20,Switzerland,TSG 1899 Hoffenheim
J. Bøge,28,Denmark,Hobro IK
B. Valette,25,France,Nîmes Olympique
S. Davies,30,England,Blackpool
F. Proia,22,Italy,Cittadella
O. Kiteishvili,22,Georgia,SK Sturm Graz
C. Forrester,25,Republic of Ireland,Aberdeen
D. Balanta,24,Colombia,Junior FC
L. Montipó,22,Italy,Benevento
J. Tverskov,25,Denmark,Odense Boldklub
D. Barinov,21,Russia,Lokomotiv Moscow
M. Hughes,31,England,Accrington Stanley
S. Brandstetter,28,Germany,SV Wehen Wiesbaden
R. Seuntjens,29,Netherlands,VVV-Venlo
D. Samuel,24,England,Blackburn Rovers
E. Palmer-Brown,21,United States,NAC Breda
Y. González,23,Colombia,Junior FC
D. van Bruggen,22,Netherlands,VVV-Venlo
G. Pacheco,29,Chile,CD Universidad de Concepción
P. Ochs,21,Germany,Aalborg BK
Miguelón,22,Spain,Villarreal CF
J. Horn,31,Norway,Sarpsborg 08 FF
E. Boldewijn,25,Netherlands,Notts County
Stéfano Pinho,27,Brazil,Orlando City SC
P. Bochniewicz,22,Poland,Górnik Zabrze
E. Caicedo,23,Colombia,Deportivo Cali
P. Sisniega,22,Mexico,Real Sociedad
F. Wadja,23,Cameroon,FC Lorient
A. Al Faraj,29,Saudi Arabia,Al Nassr
S. Al Muwallad,27,Saudi Arabia,Al Ahli
Yang Cheng,32,China PR,Hebei China Fortune FC
N. Douchez,38,France,Red Star FC
U. Jenssen,21,Norway,FC Nordsjælland
C. Dawson,22,England,Sheffield Wednesday
F. Gino,25,Uruguay,Club Atlético Aldosivi
Alberto Soro,19,Spain,Real Zaragoza
C. Carrillo,25,Colombia,Millonarios FC
D. Palacios,18,Ecuador,Willem II
A. Baclet,32,France,Cosenza
E. Jääger,33,Estonia,Vålerenga Fotball
M. Hofmann,24,Austria,SK Rapid Wien
J. Jach,24,Poland,Çaykur Rizespor
G. Docherty,21,Scotland,Shrewsbury
L. Escorcia,21,Colombia,Jaguares de Córdoba
R. Rebolledo,21,Chile,Universidad Católica
Toni Martínez,21,Spain,CF Rayo Majadahonda
Ander Guevara,20,Spain,Real Sociedad
D. Drescher,28,Austria,SKN St. Pölten
J. Gammelby,23,Denmark,Brøndby IF
J. Watts,26,United States,Houston Dynamo
R. O'Donovan,32,Republic of Ireland,Newcastle Jets
J. Rodríguez,22,Mexico,Club León
D. Bičík,37,Czech Republic,Sparta Praha
N. Vergos,22,Greece,Panathinaikos FC
J. Narváez,27,Ecuador,
R. Nyambe,20,Namibia,Blackburn Rovers
E. Reséndez,22,Mexico,Monterrey
D. Widgren,24,Sweden,Östersunds FK
A. Cocco,32,Italy,Pescara
O. Kefkir,26,Germany,KFC Uerdingen 05
J. Tutuarima,25,Netherlands,De Graafschap
Bruno Leite,23,Cape Verde,FK Haugesund
J. Meekings,25,England,Dundee FC
G. Lloris,22,France,OGC Nice
M. Konczkowski,24,Poland,Piast Gliwice
A. Jovanović,28,Australia,Jeju United FC
C. Depres,23,France,Nîmes Olympique
B. Cufré,21,Argentina,Vélez Sarsfield
J. Asoro,19,Sweden,Swansea City
R. Boguski,34,Poland,Wisła Kraków
A. Jacobsen,28,Denmark,Odense Boldklub
S. Miangue,21,Belgium,Standard de Liège
A. Bernal,30,Colombia,América de Cali
E. Capradossi,22,Italy,Spezia
F. Perucchini,26,Italy,Ascoli
T. Agyepong,22,Ghana,Hibernian
G. Kharaishvili,21,Georgia,IFK Göteborg
Iñigo Vicente,20,Spain,Athletic Club de Bilbao
J. Baldwin,25,England,Sunderland
R. Dekker,23,Netherlands,PEC Zwolle
Cristo González,20,Spain,Real Madrid
Diogo Costa,18,Portugal,FC Porto
G. Koyalipou,18,France,Chamois Niortais Football Club
Alan Sousa,21,Brazil,Vejle Boldklub
R. Ramírez,22,Venezuela,Fortuna Sittard
S. Fischer,29,Netherlands,Vendsyssel FF
L. Kelly,28,Scotland,Coventry City
C. Dorda,29,Germany,KFC Uerdingen 05
N. Næss,25,Norway,SC Heerenveen
D. Asprilla,26,Colombia,Portland Timbers
K. Endo,20,Japan,Yokohama F. Marinos
B. Sævarsson,33,Iceland,
A. Acosta,30,Mexico,Tigres U.A.N.L.
S. Carruthers,25,Republic of Ireland,Oxford United
P. Mpanzu,24,England,Luton Town
G. Milan,30,Argentina,Tiburones Rojos de Veracruz
K. Chiba,33,Japan,Sanfrecce Hiroshima
M. Boadu,17,Netherlands,AZ Alkmaar
C. Doyle,33,Republic of Ireland,Heart of Midlothian
Fran Rodríguez,23,Spain,UD Almería
S. Jakubiak,25,Germany,Heracles Almelo
M. Buchalik,29,Poland,Wisła Kraków
N. Proschwitz,31,Germany,SV Meppen
F. Banguero,29,Colombia,Millonarios FC
M. El-Shenawy,29,Egypt,
H. Iikura,32,Japan,Yokohama F. Marinos
K. Gehring,30,Germany,SG Sonnenhof Großaspach
P. McGowan,30,Scotland,Dundee FC
J. Pierazzi,33,France,GFC Ajaccio
Wang Yongpo,31,China PR,Tianjin Quanjian FC
M. Sánchez,30,Argentina,San Martín de San Juan
S. Gannon,26,Republic of Ireland,Dundalk
C. Capone,19,Italy,Pescara
C. Taylor,31,England,Blackpool
R. Lange,29,Germany,FSV Zwickau
A. Keita,26,Guinea,Os Belenenses
B. Gueye,23,Senegal,SC Paderborn 07
K. Wagner,21,Germany,FC Würzburger Kickers
Xisco Campos,36,Spain,RCD Mallorca
C. Robertson,24,Scotland,Rotherham United
C. Conway,33,Scotland,Blackburn Rovers
Jajá,23,Brazil,Kalmar FF
A. Vanins,38,Latvia,FC Zürich
O. Mendoza,29,Mexico,Club Tijuana
A. Faltsetas,30,Sweden,BK Häcken
J. Elsey,24,Australia,Adelaide United
A. Plizzari,18,Italy,Milan
D. Martin,32,England,Millwall
Gu Cao,30,China PR,Henan Jianye FC
L. Strizzolo,26,Italy,Cittadella
Juan Rodríguez,23,Spain,Real Sporting de Gijón
S. Moyano,27,Argentina,Gimnasia y Esgrima La Plata
A. Schetino,24,Uruguay,Cosenza
A. Caci,21,France,RC Strasbourg Alsace
V. Janjetović,30,Australia,Western Sydney Wanderers
N. Haas,22,Switzerland,Palermo
T. Valls,22,France,Nîmes Olympique
P. Herrmann,30,Germany,Holstein Kiel
C. Ramsebner,29,Austria,LASK Linz
L. Martinelli,29,Italy,Foggia
Freire,28,Brazil,Shimizu S-Pulse
T. Černý,33,Czech Republic,Aberdeen
N. Spalek,21,Slovakia,Brescia
N. Madonna,31,Italy,Padova
M. Kobras,32,Austria,SCR Altach
N. Bärkroth,26,Sweden,Djurgårdens IF
M. Busellato,25,Italy,Foggia
M. Stein,32,Germany,FC Energie Cottbus
N. Bertrams,25,Netherlands,FC Nordsjælland
A. Doukha,31,Algeria,Al Raed
E. Quiñones,29,Colombia,Millonarios FC
A. Sørensen,22,Denmark, SSV Jahn Regensburg
Wang Zhuo,28,China PR,Guizhou Hengfeng FC
B. Easton,30,Scotland,St. Johnstone FC
A. Boyle,27,Republic of Ireland,Dundee FC
V. Kravets,20,Ukraine,CD Lugo
N. Law,30,England,Exeter City
Basilio,34,Spain,CF Rayo Majadahonda
K. Pearce,28,Barbados,Mansfield Town
M. Edwards,19,England,Excelsior
P. Brożek,35,Poland,Wisła Kraków
L. Ravanelli,21,Italy,Padova
A. Taylor,27,Wales,Northampton Town
M. Nalepa,25,Poland,Lechia Gdańsk
Lee Myung Jae,24,Korea Republic,Ulsan Hyundai FC
Tang Xin,27,China PR,Guizhou Hengfeng FC
A. Arregui,25,Argentina,San Martin de Tucumán
H. El Sayed,26,Egypt,Ettifaq FC
D. Horst,32,United States,Real Salt Lake
Álex Barrera,27,Spain,Extremadura UD
Ricardo Vaz,23,Portugal,CF Reus Deportiu
L. Röser,24,Germany,SG Dynamo Dresden
C. Feraud,27,Ecuador,Al Hazem
R. Eckardt,28,Germany,FC Carl Zeiss Jena
K. Heerings,28,Netherlands,Fortuna Sittard
Lorenzao Masca,34,Brazil,Cruzeiro
M. Ojeda,19,Argentina,Racing Club
M. Ndockyt,19,Congo,RCD Mallorca
P. Funk,28,Germany,VfR Aalen
M. Fallatah,30,Saudi Arabia,Al Hilal
Euller,23,Brazil,Al Shabab
Liao Lisheng,25,China PR,Guangzhou Evergrande Taobao FC
S. Findlay,22,Scotland,Kilmarnock
H. Sönmez,27,Turkey,Atiker Konyaspor
W. Norris,24,England,Wolverhampton Wanderers
M. Spano Rahou,23,France,Grenoble Foot 38
L. Zarandia,22,Georgia,Arka Gdynia
Fábinho,33,Brazil,Philadelphia Union
Zé Manuel,27,Portugal,Santa Clara
B. Innocent,22,Nigeria,Malmö FF
L. Page,22,England,Charlton Athletic
B. Van Durmen,21,Belgium,Royal Excel Mouscron
Jano,31,Spain,SV Mattersburg
E. Larsson,26,Sweden,Malmö FF
M. Ehmer,26,Germany,Gillingham
V. Solomon-Otabor,22,Nigeria,Birmingham City
V. Janjičić,19,Switzerland,Hamburger SV
R. Blanco,28,Argentina,Curicó Unido
N. Toko,27,DR Congo,Al Fateh
J. Rafferty,24,Republic of Ireland,Rochdale
Higinio,24,Spain,CD Numancia
Danilo Sacrio,26,Brazil,Paraná
T. Szántó,22,Hungary,SK Rapid Wien
N. Ravaglia,29,Italy,US Cremonese
H. Alpsoy,21,Turkey,Antalyaspor
M. Migliorini,26,Italy,US Salernitana 1919
Emílio Trevões,30,Brazil,Vitória
L. Bergsma,21,Netherlands,AZ Alkmaar
A. Marciniak,29,Poland,Arka Gdynia
S. Kotysch,29,Germany,Sint-Truidense VV
N. Peñailillo,26,Chile,Deportes Iquique
Fu Huan,24,China PR,Shanghai SIPG FC
B. Emir,30,Turkey,Göztepe SK
Flávio Triginho,34,Brazil,Botafogo
D. Haas,34,Germany,FC Erzgebirge Aue
Magno Novaes,35,Brazil,AS Béziers
S. Ferguson,26,Northern Ireland,Millwall
S. Sinovic,31,United States,Sporting Kansas City
B. Enobakhare,20,Nigeria,Kilmarnock
T. McMahon,32,England,Oxford United
E. Ba,25,France,Racing Club de Lens
C. Ayala,32,Colombia,Rionegro Águilas
Manuel Sánchez,30,Spain,Elche CF
O. Bulut,24,Germany,Eintracht Braunschweig
R. Godínez,25,Mexico,Lobos BUAP
S. Anderson,32,Scotland,St. Johnstone FC
A. Marchesano,27,Switzerland,FC Zürich
E. Ndoj,21,Albania,Brescia
D. Rose,30,England,Portsmouth
J. Oumari,29,Lebanon,Sagan Tosu
R. Festersen,31,Denmark,Odense Boldklub
J. Blayac,35,France,GFC Ajaccio
M. Ljujić,24,Serbia,Os Belenenses
R. Vodišek,19,Slovenia,Genoa
M. Marić,34,Switzerland,FC Lugano
L. Frecklington,32,Republic of Ireland,Lincoln City
M. Awad,25,Egypt,Al Wehda
Dong Xuesheng,29,China PR,Hebei China Fortune FC
J. Düker,22,Germany,SC Paderborn 07
A. Dreyer,20,Denmark,Brighton & Hove Albion
P. Estupiñán,20,Ecuador,RCD Mallorca
D. Mast,26,Germany,FC Würzburger Kickers
Andoni López,22,Spain,UD Almería
F. Canales,31,Mexico,Lobos BUAP
S. Scappini,30,Italy,Cittadella
S. Nutz,26,Austria,SCR Altach
J. Byrne,22,Republic of Ireland,Shamrock Rovers
Dilson Calegari,34,Brazil,Vitória
Cris,34,Portugal,CD Feirense
K. Pannewitz,26,Germany,FC Carl Zeiss Jena
B. Kopacz,26,Poland,Zagłębie Lubin
H. Patronen,34,Finland,HJK Helsinki
A. Capello,22,Italy,Padova
He Guan,25,China PR,Shanghai SIPG FC
V. Skjerve,30,Norway,FK Haugesund
S. Williams,28,United States,LA Galaxy
A. Hughes,26,Wales,Preston North End
M. Jansen,25,Germany,SV Sandhausen
R. Yates,20,England,Nottingham Forest
D. Zeefuik,20,Netherlands,FC Groningen
F. Della Rocca,30,Italy,Padova
Z. Alomerović,27,Serbia,Lechia Gdańsk
M. Gouaida,25,Tunisia,SV Sandhausen
S. Adekugbe,23,Canada,Vålerenga Fotball
N. Molina,20,Argentina,Defensa y Justicia
M. Maâzou,29,Niger,Racing Club de Lens
M. Lieder,28,Netherlands,SønderjyskE
W. Kaptoum,21,Cameroon,Real Betis
M. Finotto,25,Italy,Cittadella
P. Becker,25,Argentina,CD Antofagasta
D. Rangelov,35,Bulgaria,FC Energie Cottbus
M. Oxley,27,England,Southend United
B. Coker,29,England,Southend United
Sim Sang Min,25,Korea Republic,FC Seoul
H. Zuck,27,Germany,1. FC Kaiserslautern
H. Zapata,23,Colombia,La Equidad
C. Lines,32,England,Bristol Rovers
M. Sollbauer,28,Austria,Wolfsberger AC
R. Jansson,26,Sweden,AIK
A. Guido,24,United States,Club Tijuana
I. González,26,Mexico,Monarcas Morelia
H. Al Hazaa,26,Saudi Arabia,Ettifaq FC
F. Castillón,32,Argentina,Club Atlético Aldosivi
W. Harding,21,England,Birmingham City
G. Tansey,29,England,Aberdeen
H. Ojamaa,27,Estonia,Miedź Legnica
M. Ríos,34,Chile,Deportes Iquique
M. Tévez,21,Argentina,Defensa y Justicia
E. Sosa,22,Venezuela,Columbus Crew SC
T. Lapslie,22,England,Colchester United
M. Sauer,24,Germany,SpVgg Greuther Fürth
R. Descamps,22,France,Clermont Foot 63
J. Álvarez,22,Argentina,Club Atlético Banfield
A. Ludwig,25,Denmark,Odense Boldklub
C. Dunne,25,Republic of Ireland,Motherwell
L. Rodríguez,24,Argentina,Club Atlético Tigre
J. Gómez,22,Colombia,Junior FC
J. Aribo,21,England,Charlton Athletic
Gabriel,20,Brazil,LOSC Lille
C. Machado,28,Bolivia,New England Revolution
L. Kruse,34,Germany,Eintracht Braunschweig
S. McConville,29,England,Accrington Stanley
D. Drocco,29,Argentina,Club Atlético Huracán
A. Sušac,29,Croatia,VfL Osnabrück
M. Perlak,32,Austria,SV Mattersburg
B. Clarke,30,Republic of Ireland,Charlton Athletic
Eduardo,25,Brazil,Kawasaki Frontale
K. Dawson,28,Republic of Ireland,Cheltenham Town
H. McGahey,22,England,Rochdale
Gu Chao,28,China PR,Jiangsu Suning FC
R. Caballero,27,Paraguay,Rionegro Águilas
Ever Rodeiro,34,Brazil,Botafogo
X. Arreaga,23,Ecuador,
C. Cercado,29,Mexico,Lobos BUAP
H. Al Raheb,34,Saudi Arabia,Al Shabab
C. Schuler,30,United States,Orlando City SC
S. Mantom,26,England,Southend United
O. Bouy,25,Netherlands,PEC Zwolle
J. Dongou Tsafack,23,Cameroon,CD Lugo
P. Mainka,23,Germany,1. FC Heidenheim 1846
A. Kantari,33,Morocco,Valenciennes FC
T. Mavromatis,21,Greece,Panathinaikos FC
Li Lei,26,China PR,Beijing Sinobo Guoan FC
Raphael Doninho,30,Brazil,Grêmio
K. Bülow,32,Germany,FC Hansa Rostock
R. Magyar,27,Sweden,SpVgg Greuther Fürth
F. Brillant,33,France,DC United
K. Tamada,38,Japan,Nagoya Grampus
M. Ballmert,24,Germany,SV Meppen
M. Laínez,22,Mexico,Lobos BUAP
K. Mayi,25,France,Stade Brestois 29
N. Manfredini,30,Italy,Spezia
K. Koizumi,23,Japan,Kashiwa Reysol
C. Aneke,24,England,Milton Keynes Dons
Juan Cruz,25,Spain,Elche CF
S. Olivarez,26,Argentina,Belgrano de Córdoba
P. Gladon,26,Netherlands,Sint-Truidense VV
E. Aydoğan,21,Turkey,Bursaspor
V. Pule,26,South Africa,Orlando Pirates
Daniel Fuzato,20,Brazil,Roma
G. Valverde,28,Bolivia,
D. de Vries,37,Netherlands,Celtic
A. Lithgow,30,Scotland,Livingston FC
L. Nicholls,25,England,Milton Keynes Dons
R. Teibert,25,Canada,Vancouver Whitecaps FC
M. Figueroa,28,Argentina,San Martin de Tucumán
A. Nübel,21,Germany,FC Schalke 04
Z. Al Sahafi,24,Saudi Arabia,Al Ittihad
J. Schouten,21,Netherlands,Excelsior
R. Rep,28,Slovenia,TSV Hartberg
M. Rubin,30,Italy,Foggia
L. Guldan,35,Slovakia,Zagłębie Lubin
C. Telo,28,Sweden,Molde FK
M. Pearson,24,England,Luton Town
Ricardo Alves,27,Portugal,CD Tondela
T. Paredes,25,Paraguay,Newell's Old Boys
Kauã Reisende,26,Brazil,Bahia
L. Madrigal,25,Mexico,Monterrey
Augusto César,25,Brazil,Querétaro
D. Holm,32,Norway,Vålerenga Fotball
Y. Akimoto,30,Japan,Shonan Bellmare
J. Beckford,34,Jamaica,Bury
N. Crovetto,32,Chile,Audax Italiano
Y. Maruyama,29,Japan,Nagoya Grampus
B. Jatta,20,Gambia,Hamburger SV
G. Merebashvili,31,Georgia,Wisła Płock
D. Vaughan,35,Wales,Notts County
T. Mauricio,24,France,Valenciennes FC
K. Dougall,25,Australia,Barnsley
D. Arreola,32,Mexico,Puebla FC
J. Cousins,24,England,Queens Park Rangers
J. Duma,24,Argentina,CD Antofagasta
T. Spurr,30,England,Fleetwood Town
J. Martínez,23,Peru,CF Rayo Majadahonda
C. Schoppenhauer,26,Germany,FC St. Pauli
L. Roberts,23,England,Walsall
M. Pellegrini,18,Argentina,Estudiantes de La Plata
C. Schwegler,34,Switzerland,FC Luzern
K. Petersen,33,Denmark,Odense Boldklub
J. Vet,24,Netherlands,De Graafschap
H. Kawano,28,Japan,Sagan Tosu
F. Stokkers,22,Netherlands,Fortuna Sittard
G. Gómez,22,Argentina,Racing Club
M. Lund,27,Northern Ireland,Scunthorpe United
M. Jankowski,28,Poland,Arka Gdynia
A. Maisonnial,20,France,FC Sion
M. Lugo,28,Paraguay,Belgrano de Córdoba
D. Niwa,32,Japan,FC Tokyo
C. Riegler,26,Austria,SKN St. Pölten
R. Lundqvist,21,Sweden,PSV
S. Muniru,25,Ghana,Yeni Malatyaspor
Zhang Lu,30,China PR,Tianjin Quanjian FC
J. Reeves,25,England,Bradford City
E. Ward,33,England,Notts County
J. Tamm,26,Estonia,Sarpsborg 08 FF
M. Heylen,24,Belgium,SV Zulte-Waregem
G. Gallon,25,France,US Orléans Loiret Football
T. Adarabioyo,20,England,West Bromwich Albion
L. Martin,31,England,Exeter City
F. Ferrari,22,Italy,Brescia
Trujillo,30,Spain,UD Almería
Kim Yong Dae,38,Korea Republic,Ulsan Hyundai FC
E. Babayan,22,Armenia,Hobro IK
Diogo Santos,33,Portugal,Santa Clara
T. Borevković,21,Croatia,Rio Ave FC
J. Jacobson,31,Wales,Wycombe Wanderers
Benja,30,Spain,Elche CF
D. Phillips,23,England,Charlton Athletic
G. Aburjania,23,Georgia,CD Lugo
J. Riley,21,England,Bradford City
A. Matějů,22,Czech Republic,Brescia
Filipe Brigues,27,Portugal,GD Chaves
J. Zelený,25,Czech Republic,SK Slavia Praha
S. Svendsen,20,Norway,Hammarby IF
J. Moreno,21,Colombia,Once Caldas
R. Bushiri,18,Belgium,KAS Eupen
H. Rivero,25,Argentina,Deportivo Pasto
M. Grella,31,United States,Columbus Crew SC
I. Lanni,28,Italy,Ascoli
A. Sané,25,Senegal,FC Sochaux-Montbéliard
F. Castillo,28,Colombia,Jaguares de Córdoba
M. Galmarini,36,Argentina,Club Atlético Tigre
A. Monfray,27,France,US Orléans Loiret Football
B. Castillo,40,Colombia,Atlético Huila
S. Diop,18,France,AS Monaco
Yin Hongbo,28,China PR,Hebei China Fortune FC
